source,rating,gold_label,text
shopify,5,positive,"Crema is thick and stable, extraction is even, and it handles a fine grind without complaint."
shopify,5,positive,"Elegant, compact, and it photographs well which is why I found the brand in the first place."
shopify,5,positive,Excellent build and excellent coffee. It feels like a considered product rather than a gadget.
shopify,5,positive,Genuinely cafe-quality shots. I bought a second one for the office.
shopify,5,positive,"Genuinely well designed — the finish, the weight, the way the lid closes. Feels premium."
shopify,2,negative,"I bought this as a gift and had to apologise for the state of the box. Please invest in the unboxing, it's part of what people pay for here."
shopify,4,positive,"I hesitated at the price and still think it's high, but I use it daily so the cost per shot has worked out fine."
shopify,5,positive,I've been pulling shots at home for years and this holds its own against proper equipment. The flavour is clean with no bitterness.
shopify,5,positive,It looks lovely on the counter and takes almost no space. Form and function both handled.
shopify,3,neutral,It's a genuinely good machine but the direct price is steep compared to marketplace listings for similar portables.
shopify,2,negative,Machine is lovely but arrived with a dented base. The inner packaging offers no real protection for something this heavy.
shopify,5,positive,My unit arrived damaged and they shipped a replacement before I'd even returned the first. Excellent service.
shopify,2,negative,"Ordering direct from the brand I expected a nicer unboxing, but the box arrived crushed on one corner and the machine had a visible dent. For a premium DTC price this matters."
shopify,3,neutral,Packaging is the weak link. Everything else about buying direct has been excellent.
shopify,4,positive,"Pricey for what it is, but the coffee quality and the support have made it feel worthwhile."
shopify,4,positive,"Quality justifies most of the price, though I'd expect a carry case included at this tier."
shopify,5,positive,"Rich, full-bodied espresso every morning. Heats in under a minute and cleans up in seconds."
shopify,2,negative,Second order and again the box was damaged in transit. The product survives but it undercuts the premium feel.
shopify,5,positive,"Strong, aromatic shots with a proper crema layer. Exceeded what I expected."
shopify,5,positive,Support answered a descaling question within the hour with a proper detailed reply. Rare these days and it made me trust the brand.
shopify,5,positive,The design is beautiful. It's the only appliance I don't hide in a cupboard.
shopify,5,positive,"The espresso is outstanding. Thick crema, balanced extraction, and completely consistent shot after shot. It replaced a machine that cost three times as much."
shopify,5,positive,"The flavour profile is smooth and rounded. Best espresso I've made at home, easily."
shopify,4,positive,The industrial design is a step above everything else in this category.
shopify,2,negative,"The packaging didn't match the brand's aesthetic at all — thin cardboard, no insert, machine loose inside. Mine arrived scratched."
shopify,5,positive,The taste is remarkable for something this size. My partner switched from the cafe down the road to this.
shopify,5,positive,The team followed up a week after delivery to check the machine was working well. Nice touch that you don't get from marketplaces.
shopify,5,positive,Two months in and every shot is as good as the first. Very impressed with the consistency.
tiktok,5,positive,Actually lives up to what people say about it.
tiktok,1,negative,Arrived damaged. The lid doesn't sit flush anymore because of a dent.
tiktok,1,negative,Arrived in a battered box with a broken accessory clip.
tiktok,1,negative,Arrived with the box open and taped back shut. Felt like a return being resold.
tiktok,2,negative,Battery drains overnight even when it's off. Have to charge before every use.
tiktok,2,negative,Battery drains when unused which defeats the point of a portable machine.
tiktok,2,negative,Battery drops from full to half in two days of not using it.
tiktok,2,negative,Battery is disappointing for the price. Everything else is solid.
tiktok,2,negative,Battery life is the weak point. Loses half its charge just sitting there.
tiktok,5,positive,"Been using it daily for a month, quality hasn't dropped at all."
tiktok,5,positive,Best espresso I've had from anything this small. Obsessed.
tiktok,5,positive,Best small machine I've owned and I've tried a few.
tiktok,4,positive,Better than expected in every way that matters. Great espresso.
tiktok,4,positive,Better than my old countertop machine and it fits in a drawer.
tiktok,2,neutral,"Bought after a viral video, waited 13 days, worth it but barely."
tiktok,5,positive,Bought because everyone was posting about it and it's genuinely good.
tiktok,5,positive,Bought it off my fyp at 2am and zero regrets.
tiktok,5,positive,"Bought it skeptical, now I use it twice a day. Coffee is excellent."
tiktok,3,neutral,"Bought this on a whim and then waited 11 days wondering if I'd been scammed. It's real, just slow."
tiktok,2,negative,Box arrived completely crushed. The machine works but the water tank has a crack.
tiktok,2,negative,Box damage seems common based on other reviews. Mine was crushed too.
tiktok,1,negative,Box looked like it had been kicked. Machine has a scratch across the front.
tiktok,1,negative,Box was soaked and falling apart. Machine works but it's cosmetically damaged.
tiktok,1,negative,Came in a flimsy box with no padding. Mine was dented on one side.
tiktok,1,negative,Came with a dent that affects how the lid closes. Annoying.
tiktok,3,negative,Camping trip and the battery died on day two. Bring a power bank.
tiktok,2,negative,"Charge doesn't hold. Full at night, dead by morning."
tiktok,3,neutral,Charging takes long and the charge doesn't last. Only real flaw.
tiktok,5,positive,Cleanup takes thirty seconds and the coffee is fantastic.
tiktok,5,positive,Coffee quality alone makes this worth it. Best purchase this year.
tiktok,5,positive,Coffee quality is outstanding. Worth every dollar.
tiktok,5,positive,"Compact, fast, and the coffee is genuinely great. No notes."
tiktok,5,positive,Consistent great shots every morning. Zero complaints on quality.
tiktok,2,negative,Cracked plastic on the side from shipping damage. Disappointing for the price.
tiktok,5,positive,Crema is thick and the flavor is balanced. Very happy.
tiktok,1,negative,Crushed corner and a cracked pressure gauge. Requested a replacement.
tiktok,5,positive,Customer service was genuinely helpful when my order was delayed.
tiktok,1,negative,"Delivery estimate said five days, reality was fourteen."
tiktok,3,negative,Delivery took forever and support was slow to answer about it too.
tiktok,3,negative,Delivery took longer than every other order I placed that week.
tiktok,2,negative,"Dented on arrival, again. Third time ordering from this brand."
tiktok,2,negative,Died mid-shot twice. Battery capacity feels overstated.
tiktok,5,positive,"Easy to use, easy to clean, and the shot quality is top tier."
tiktok,4,positive,Espresso quality rivals cafes near me. Genuinely surprised.
tiktok,1,negative,Everyone in the comments said shipping was slow and they were right.
tiktok,5,positive,Everyone said get it and they were right.
tiktok,5,positive,"Excellent coffee, simple to operate, easy to rinse out."
tiktok,3,neutral,"Fine product, painfully slow shipping. That's the whole review."
tiktok,4,positive,Flavor is rich and clean. I've stopped buying coffee out.
tiktok,5,positive,Genuinely did not expect this to be good and the crema is incredible.
tiktok,5,positive,Genuinely the best small espresso maker I've tried.
tiktok,1,negative,Got it with a dented body and a bent handle. Support replaced it but still.
tiktok,2,negative,Great coffee but the battery discharges way too fast when idle.
tiktok,5,positive,Great crema and it's so easy to use. Bought one for my mom too.
tiktok,4,positive,Great shot quality and it's held up well after two months.
tiktok,5,positive,Had a question about descaling and they replied within an hour.
tiktok,3,negative,Had to charge it three times on a two day trip. Battery needs work.
tiktok,5,positive,Heats in under a minute and pulls a great shot. Love it.
tiktok,3,negative,I bought this for a trip and it arrived after I got back. Please fix the delivery times.
tiktok,1,neutral,I love the coffee but the wait made me almost return it before it arrived.
tiktok,5,positive,I make two shots a day with it and it hasn't missed once.
tiktok,2,negative,Idle battery drain is real. Firmware fix needed.
tiktok,5,positive,Impulse bought from a video and it's my favorite purchase this year.
tiktok,1,negative,It came eventually but the estimated date was off by ten days.
tiktok,2,neutral,Love it but the battery only gives me a few shots before needing a charge.
tiktok,2,negative,Machine was fine but the box was destroyed. Got lucky I think.
tiktok,4,positive,"Makes a proper shot, not a watery imitation. Impressed."
tiktok,5,positive,Makes better coffee than machines five times the price.
tiktok,5,positive,Mine arrived damaged and support sent a replacement in two days. Great service.
tiktok,2,negative,Mine arrived with the manual missing and the box already opened.
tiktok,2,negative,"Nine days and counting with no update, then it just appeared. Fix the tracking."
tiktok,2,negative,"No bubble wrap, no padding, just the machine loose in a thin box. Dented on arrival."
tiktok,1,negative,No shipping updates for eight days then suddenly delivered. Weird process.
tiktok,5,positive,"Not just a trend, this thing is actually useful."
tiktok,5,positive,One of the rare viral products that lives up to the videos.
tiktok,3,neutral,Ordered after seeing it on my fyp and it took 13 days to show up. Coffee is good but that wait was rough.
tiktok,2,negative,Ordered for a gift and it arrived two weeks after the birthday. Frustrating.
tiktok,1,negative,"Ordered on a Monday, got it 15 days later. Coffee's solid but I almost cancelled."
tiktok,1,negative,"Ordered twice, both times took over ten days. Consistent but consistently slow."
tiktok,3,negative,Package sat in one city for six days according to tracking. Very slow carrier.
tiktok,1,negative,Packaging fail. Everything rattling around inside with nothing holding it.
tiktok,1,negative,Packaging needs a redesign. Mine came damaged and so did my friend's.
tiktok,1,negative,"Packaging was destroyed. Machine survived but barely, no protection inside at all."
tiktok,5,positive,Perfect crema every shot. My partner uses it more than I do now.
tiktok,5,positive,Perfect for my desk at work. Coffee tastes great.
tiktok,5,positive,Quick and friendly support. They actually read my message.
tiktok,5,positive,Rare case of a viral product being genuinely good.
tiktok,5,positive,Really good crema and no bitter aftertaste at all.
tiktok,5,positive,Really well built and the espresso is excellent. Happy purchase.
tiktok,5,positive,"Rich crema, no bitterness, heats up fast. Exactly what I wanted."
tiktok,5,positive,"Rich crema, quick heat up, easy cleanup. It just works."
tiktok,5,positive,"Rich taste, easy to clean, tiny footprint. Nothing to complain about."
tiktok,5,positive,"Saw it on tiktok, bought it, do not regret it. Actually worth the hype."
tiktok,5,positive,Saw it three times on my feed and caved. Glad I did.
tiktok,2,negative,"Second order, second smashed box. They need better packaging seriously."
tiktok,3,neutral,Shipping needs work. Everything else about this brand is good.
tiktok,3,negative,Shipping was so slow. Tracking didn't update for over a week and I thought it got lost.
tiktok,2,neutral,Slow delivery but the espresso quality made up for it in the end.
tiktok,2,neutral,Slow shipping is the only real complaint. Everything else about it is great.
tiktok,1,neutral,"Slow, slow, slow. But I'd still buy it again because the espresso is that good."
tiktok,5,positive,Smooth rich espresso every time. Would buy again.
tiktok,5,positive,"Smooth, strong, and consistent every time. Really impressed."
tiktok,1,negative,Still no movement on tracking a week in. Eventually arrived on day 12.
tiktok,2,negative,Still waiting nine days in with no tracking movement. Finally came but the wait killed the hype.
tiktok,4,positive,"Strong, rich, no grit. Exactly what I hoped for."
tiktok,5,positive,Support answered fast and sorted out my shipping issue immediately.
tiktok,5,positive,Support replaced my faulty frother without any hassle.
tiktok,5,positive,Tastes amazing and takes up no space. Ideal for small kitchens.
tiktok,4,positive,Tastes like a real cafe shot. I use it every single morning now.
tiktok,2,negative,The box was so beat up I almost refused delivery.
tiktok,2,negative,The carrier lost it for a few days apparently. Took 16 days total.
tiktok,5,positive,The coffee is fantastic and the build feels solid.
tiktok,5,positive,The crema on this thing is better than my local shop.
tiktok,2,negative,The espresso is great but mine arrived with a cracked casing.
tiktok,5,positive,"The espresso is legitimately excellent, not just good for a portable."
tiktok,5,positive,The espresso is smooth and the machine feels premium in hand.
tiktok,4,positive,The flavor is so much better than I expected from a viral product.
tiktok,5,positive,The hype checked out. Using it daily.
tiktok,5,positive,The hype is real. I use it every day.
tiktok,2,negative,The outer box was torn and the frother was missing from the accessories.
tiktok,1,negative,The packaging is way too thin for something this expensive.
tiktok,2,negative,The power management is bad. It loses charge sitting in my bag.
tiktok,3,neutral,The product deserves better logistics honestly. Coffee is excellent.
tiktok,2,neutral,"The product is great, the shipping is not. Twelve days and zero updates."
tiktok,2,neutral,The shipping experience was the worst part. Product itself is honestly great.
tiktok,4,positive,The shot quality is unreal for a portable machine. Rich and smooth.
tiktok,5,positive,The taste is smooth and full. Way better than pod machines.
tiktok,5,positive,The taste sold me. Compact size is a bonus.
tiktok,5,positive,The team refunded my shipping when it was late. Nice touch.
tiktok,5,positive,The videos undersold it honestly. Better in person.
tiktok,1,negative,The wait was so long I forgot I ordered it. Nice surprise but come on.
tiktok,5,positive,This replaced my entire coffee setup. The taste is that good.
tiktok,2,negative,"Took ages and arrived with no notification, just found it at my door."
tiktok,3,negative,Took almost two weeks. For the price I expected faster than this honestly.
tiktok,2,negative,"Torn sleeve, crushed corner, dented unit. Not a great first impression."
tiktok,1,negative,Tracking number didn't work at all for the first week. Not a good look.
tiktok,2,negative,Tracking said out for delivery for four straight days. Confusing and stressful.
tiktok,3,negative,Tracking was useless. Had to email support twice to find out where it was.
tiktok,5,positive,"Trust the videos on this one, it's legit."
tiktok,2,negative,Twelve days for something advertised as fast shipping. Misleading.
tiktok,2,neutral,Two weeks to arrive. The espresso is worth it but be ready to wait.
tiktok,2,neutral,Two weeks wait. The machine is great but manage your expectations on delivery.
tiktok,5,positive,Viral for a reason. Great little machine.
tiktok,5,positive,Viral purchase that I'd actually recommend to friends.
tiktok,2,negative,Waited so long I opened a support ticket. It arrived the next day.
tiktok,5,positive,Was skeptical of the hype but this one delivers.
tiktok,2,neutral,Won't hold charge past a couple days. Otherwise a great machine.
tiktok,5,positive,Worth the hype and then some. Great coffee.
tiktok,2,neutral,Would give five stars if shipping wasn't this slow. Genuinely a great machine.
tiktok,1,negative,Zero protection in the box. Mine has a permanent dent on the base.
