author,rating,text,created_at
Tess L.,5,Saw it three times on my feed and caved. Glad I did.,2026-06-24T19:00:00Z
Wren G.,5,Had a question about descaling and they replied within an hour.,2026-06-24T14:15:00Z
Wren D.,2,Battery is disappointing for the price. Everything else is solid.,2026-06-25T14:45:00Z
Rhys H.,5,The espresso is smooth and the machine feels premium in hand.,2026-06-26T18:30:00Z
Cora C.,4,Tastes like a real cafe shot. I use it every single morning now.,2026-06-26T13:15:00Z
Rex N.,2,Died mid-shot twice. Battery capacity feels overstated.,2026-06-27T12:15:00Z
Lily P.,5,Best small machine I've owned and I've tried a few.,2026-06-27T17:30:00Z
Dex V.,1,Arrived in a battered box with a broken accessory clip.,2026-06-28T11:15:00Z
Sol E.,3,Delivery took longer than every other order I placed that week.,2026-06-29T13:30:00Z
Tate N.,1,No shipping updates for eight days then suddenly delivered. Weird process.,2026-06-29T16:00:00Z
Griff A.,1,Crushed corner and a cracked pressure gauge. Requested a replacement.,2026-06-30T14:30:00Z
Lily G.,2,Battery drops from full to half in two days of not using it.,2026-07-01T08:00:00Z
Ari M.,5,"Saw it on tiktok, bought it, do not regret it. Actually worth the hype.",2026-07-01T13:45:00Z
Suki D.,5,Support answered fast and sorted out my shipping issue immediately.,2026-07-02T20:45:00Z
Sol T.,5,Rare case of a viral product being genuinely good.,2026-07-03T11:00:00Z
Posy L.,5,"Been using it daily for a month, quality hasn't dropped at all.",2026-07-03T08:30:00Z
Opal G.,1,Zero protection in the box. Mine has a permanent dent on the base.,2026-07-04T10:00:00Z
Owen S.,2,Battery drains overnight even when it's off. Have to charge before every use.,2026-07-05T18:30:00Z
Miles A.,5,Everyone said get it and they were right.,2026-07-05T14:30:00Z
Zoe V.,2,Two weeks to arrive. The espresso is worth it but be ready to wait.,2026-07-06T11:15:00Z
Zev T.,2,Ordered for a gift and it arrived two weeks after the birthday. Frustrating.,2026-07-07T10:30:00Z
Ari S.,2,Slow delivery but the espresso quality made up for it in the end.,2026-07-07T17:30:00Z
Faye G.,1,It came eventually but the estimated date was off by ten days.,2026-07-08T12:00:00Z
Knox D.,5,Consistent great shots every morning. Zero complaints on quality.,2026-07-09T12:45:00Z
Elle F.,2,Would give five stars if shipping wasn't this slow. Genuinely a great machine.,2026-07-09T16:30:00Z
June K.,5,Really good crema and no bitter aftertaste at all.,2026-07-10T14:30:00Z
Roscoe D.,4,"Strong, rich, no grit. Exactly what I hoped for.",2026-07-11T14:30:00Z
Roman B.,1,Got it with a dented body and a bent handle. Support replaced it but still.,2026-07-11T10:45:00Z
Rhys R.,5,Actually lives up to what people say about it.,2026-07-12T21:15:00Z
Marcus T.,2,Unit arrived dented with the box torn open. Had to request a replacement.,2026-04-20T11:00:00Z
Priya S.,3,Tracking said delivered three days before it actually arrived. Very slow carrier.,2026-04-21T07:00:00Z
Dan W.,5,The flavor is rich and smooth. Best purchase I've made this year.,2026-04-23T14:00:00Z
Lena K.,2,Delivery was slow and the tracking page was useless. Almost two weeks to arrive.,2026-04-25T17:00:00Z
Omar R.,4,Good espresso on the go. The compact size is perfect for my desk at work.,2026-04-26T07:00:00Z
Grace H.,3,"Neutral feelings - works as described, nothing spectacular. Shipping box was a bit banged up.",2026-04-28T15:00:00Z
Tomas L.,5,Excellent taste and so easy to clean after each use. Recommend to any traveler.,2026-04-30T06:00:00Z
Nadia P.,5,"Beautiful design, great taste, easy to use. What more could you ask for.",2026-05-01T15:00:00Z
Chris B.,1,Arrived with a crushed box and a cracked water tank. Packaging needs serious work.,2026-05-03T09:00:00Z
Sofia M.,2,The box looked like it had been kicked across the warehouse. Dented machine inside.,2026-05-05T13:00:00Z
Ethan JA.,5,Customer support replaced my unit within two days. Really impressed with the service.,2026-05-06T16:00:00Z
Yara F.,2,Battery life is disappointing. It discharges while idle and dies mid-shot sometimes.,2026-05-08T14:00:00Z
Liam O.,3,"Love the coffee, but shipping took 11 days and tracking never updated. Frustrating experience.",2026-05-10T12:00:00Z
Maya R.,5,Espresso quality rivals my home machine. Compact and well built.,2026-05-11T18:00:00Z
Noah C.,5,"Best travel espresso I have owned. Rich crema, compact, and the battery lasts all week.",2026-05-13T11:00:00Z
Ava D.,5,The support team refunded my shipping fee without me even asking. Impressive service.,2026-05-15T13:00:00Z
Lucas G.,1,"Packaging was flimsy, unit was dented on arrival. Coffee tastes fine when it works though.",2026-05-16T15:00:00Z
Emma V.,5,Fantastic crema and the heat-up time is impressively quick. Love it.,2026-05-18T20:00:00Z
Oliver P.,2,Arrived late and the outer sleeve was torn. Product itself is decent once you get it going.,2026-05-20T13:00:00Z
Mia S.,5,Had an issue with the pump and the support team sent a replacement immediately. Great service.,2026-05-21T11:00:00Z
Elijah K.,5,Fast replacement when my frother arrived faulty. Support genuinely cares.,2026-05-23T10:00:00Z
Zoe T.,2,The shipping box was completely crushed. Luckily the unit survived but this packaging is unacceptable.,2026-05-25T09:00:00Z
Jack N.,3,It's okay. Makes decent coffee but nothing that wows me. Average machine overall.,2026-05-26T18:00:00Z
Lily A.,4,Great little machine. Easy cleanup and consistent shots. Worth the money.,2026-05-28T08:00:00Z
Henry B.,1,"Charge doesn't hold. Left it fully charged, two days later it was completely dead.",2026-05-30T17:00:00Z
Ruby W.,2,Great machine but it arrived with the box crushed and the pressure gauge cracked.,2026-06-01T18:00:00Z
Leo M.,3,Slow shipping and zero communication. The product is fine but the wait was painful.,2026-06-02T09:00:00Z
Isla F.,5,"Perfect for camping. Heats fast, easy cleanup, and the crema is bar-quality. Highly recommend.",2026-06-04T07:00:00Z
Owen H.,2,Battery drain issue: loses half its charge sitting unused overnight. Needs a firmware fix.,2026-06-06T15:00:00Z
Nora J.,4,Impressed by the build quality and the espresso is genuinely great.,2026-06-07T10:00:00Z
Caleb R.,2,Shipping was painfully slow. Took 12 days and support could not locate the package.,2026-06-09T14:00:00Z
Aria L.,4,Consistent quality shots and simple cleanup. Exactly what I wanted.,2026-06-11T13:00:00Z
Finn D.,5,Support was fast and helpful when I asked about descaling. Five stars for the team.,2026-06-12T20:00:00Z
Cora E.,2,Outer packaging was ripped and the accessories were loose inside. Disappointed.,2026-06-14T11:00:00Z
Miles Q.,2,Box arrived damaged and wet. The machine has a scratch across the front.,2026-06-16T17:00:00Z
Vera Z.,5,Love how compact it is. Fits in my carry-on and the espresso tastes amazing.,2026-06-17T13:00:00Z
Jude X.,4,Makes a genuinely good shot every morning. Setup instructions could be clearer but I figured it out.,2026-06-19T10:00:00Z
Iris Y.,5,Very happy camper - great espresso at 3000 meters. Compact and reliable.,2026-06-21T15:00:00Z
Rhys U.,2,Took forever to ship. Ten days with no updates before it finally showed up.,2026-06-22T07:00:00Z
Faye I.,4,"Quick, friendly support replies. They walked me through setup over chat.",2026-06-24T07:00:00Z
Cole S.,2,The battery drains overnight even when off. Had to charge before every use on my trip.,2026-06-26T14:00:00Z
June P.,1,"Second order, second damaged box. The corner was smashed and the cup was cracked.",2026-06-27T12:00:00Z
Beau K.,5,"Really impressed with the coffee quality. Smooth, rich flavor and quick heat-up.",2026-06-29T08:00:00Z
Sage O.,2,Ordered for a trip and it arrived after I left. Shipping estimates are way off.,2026-07-01T18:00:00Z
Knox V.,5,The taste is excellent and the design is beautiful. Great crema every single time.,2026-07-02T11:00:00Z
Wren AP.,4,Solid build and easy to clean. Wish the water tank were a little bigger for two shots.,2026-07-04T08:00:00Z
Tate C.,2,"Battery drains way too fast when idle. Great coffee, frustrating power management.",2026-07-06T20:00:00Z
Elle N.,2,Crushed box again. The packaging is way too flimsy for a machine this price.,2026-07-07T13:00:00Z
Reid G.,5,"Rich crema and a solid, premium feel. Very happy with this purchase.",2026-07-09T12:00:00Z
Skye B.,1,Box was open when it arrived and the manual was missing. Felt like a returned item resold.,2026-07-11T06:00:00Z
